"scenario","seed","signal","noise","missingness","method","subspace_angle_deg","inverse_count_correlation","contrast_error","interval_covered","null_reject","null_p","high_count_influence","empty_cell_fraction"
1,73111,"null","iid","mcar","covariance_analytic",NA,0.0578793268400836,NA,1,0,0.754,0.0651134840105428,0.139814814814815
1,73111,"null","iid","mcar","split_half",NA,0.0497886330259779,NA,1,0,0.754,0.253880675465838,0.139814814814815
1,73112,"null","iid","mcar","legacy",NA,0.147991874438849,NA,0,0,0.569,0.0656965991524815,0.148148148148148
1,73112,"null","iid","mcar","count",NA,0.0825468536096447,NA,0,0,0.569,0.104359881103828,0.148148148148148
1,73112,"null","iid","mcar","explicit_precision",NA,0.0785465700082788,NA,0,0,0.569,0.103383135063009,0.148148148148148
1,73112,"null","iid","mcar","random_effects",NA,0.0825468536096447,NA,0,0,0.569,0.104359881103828,0.148148148148148
1,73112,"null","iid","mcar","iid_analytic",NA,0.104592470007927,NA,1,0,0.569,0.0656965991524815,0.148148148148148
1,73112,"null","iid","mcar","covariance_analytic",NA,0.104592470007926,NA,1,0,0.569,0.0656965991524815,0.148148148148148
1,73112,"null","iid","mcar","split_half",NA,0.384171857430775,NA,1,0,0.569,0.279822251362416,0.148148148148148
1,73113,"null","iid","mcar","legacy",NA,0.528684105916564,NA,0,0,0.442,0.0643665457636046,0.130555555555556
1,73113,"null","iid","mcar","count",NA,0.556898758623087,NA,0,0,0.442,0.102761163123459,0.130555555555556
1,73113,"null","iid","mcar","explicit_precision",NA,0.556593453285277,NA,0,0,0.442,0.102851120770141,0.130555555555556
1,73113,"null","iid","mcar","random_effects",NA,0.556898758623087,NA,0,0,0.442,0.102761163123459,0.130555555555556
1,73113,"null","iid","mcar","iid_analytic",NA,0.46035035919598,NA,1,0,0.442,0.0643665457636046,0.130555555555556
1,73113,"null","iid","mcar","covariance_analytic",NA,0.460350359195979,NA,1,0,0.442,0.0643665457636046,0.130555555555556
1,73113,"null","iid","mcar","split_half",NA,0.250508121494873,NA,0,0,0.442,0.280029203068868,0.130555555555556
1,73114,"null","iid","mcar","legacy",NA,0.010734074497576,NA,0,0,0.119,0.0643232121908592,0.12962962962963
1,73114,"null","iid","mcar","count",NA,0.0105208222786228,NA,0,0,0.119,0.10092341768141,0.12962962962963
1,73114,"null","iid","mcar","explicit_precision",NA,0.00962775747772447,NA,0,0,0.119,0.101394285329859,0.12962962962963
1,73114,"null","iid","mcar","random_effects",NA,0.0105208222786228,NA,0,0,0.119,0.10092341768141,0.12962962962963
1,73114,"null","iid","mcar","iid_analytic",NA,0.0360084058190639,NA,1,0,0.119,0.0643232121908592,0.12962962962963
1,73114,"null","iid","mcar","covariance_analytic",NA,0.0360084058190639,NA,1,0,0.119,0.0643232121908592,0.12962962962963
1,73114,"null","iid","mcar","split_half",NA,0.313680895822046,NA,0,0,0.119,0.250886468598256,0.12962962962963
1,73115,"null","iid","mcar","legacy",NA,0.0532719798410088,NA,0,0,0.897,0.0648396837367426,0.136111111111111
1,73115,"null","iid","mcar","count",NA,0.007752383178375,NA,0,0,0.897,0.096177603025918,0.136111111111111
1,73115,"null","iid","mcar","explicit_precision",NA,0.0127421035591847,NA,0,0,0.897,0.0969142603182427,0.136111111111111
1,73115,"null","iid","mcar","random_effects",NA,0.007752383178375,NA,0,0,0.897,0.096177603025918,0.136111111111111
1,73115,"null","iid","mcar","iid_analytic",NA,0.0451878162699413,NA,1,0,0.897,0.0648396837367426,0.136111111111111
1,73115,"null","iid","mcar","covariance_analytic",NA,0.045187816269941,NA,1,0,0.897,0.0648396837367426,0.136111111111111
1,73115,"null","iid","mcar","split_half",NA,0.0189612381830044,NA,1,0,0.897,0.251323469676469,0.136111111111111
1,73116,"null","iid","mcar","legacy",NA,0.166082874036759,NA,0,0,0.126,0.0640650362709186,0.125925925925926
1,73116,"null","iid","mcar","count",NA,0.221063042874406,NA,0,0,0.126,0.0986409939497557,0.125925925925926
1,73116,"null","iid","mcar","explicit_precision",NA,0.221278906892121,NA,0,0,0.126,0.10005606029505,0.125925925925926
1,73116,"null","iid","mcar","random_effects",NA,0.221063042874406,NA,0,0,0.126,0.0986409939497557,0.125925925925926
1,73116,"null","iid","mcar","iid_analytic",NA,0.104203420867524,NA,1,0,0.126,0.0640650362709186,0.125925925925926
1,73116,"null","iid","mcar","covariance_analytic",NA,0.104203420867524,NA,1,0,0.126,0.0640650362709186,0.125925925925926
1,73116,"null","iid","mcar","split_half",NA,0.0316425868666806,NA,1,0,0.126,0.239126779383572,0.125925925925926
1,73117,"null","iid","mcar","legacy",NA,0.0076167212026905,NA,0,0,0.729,0.0644969804160981,0.131481481481481
1,73117,"null","iid","mcar","count",NA,0.0348240328234533,NA,0,0,0.729,0.0964888112829241,0.131481481481481
1,73117,"null","iid","mcar","explicit_precision",NA,0.0179057205583647,NA,0,0,0.729,0.0974739598299312,0.131481481481481
1,73117,"null","iid","mcar","random_effects",NA,0.0348240328234533,NA,0,0,0.729,0.0964888112829241,0.131481481481481
1,73117,"null","iid","mcar","iid_analytic",NA,0.125834220181403,NA,1,0,0.729,0.0644969804160981,0.131481481481481
1,73117,"null","iid","mcar","covariance_analytic",NA,0.125834220181403,NA,1,0,0.729,0.0644969804160981,0.131481481481481
1,73117,"null","iid","mcar","split_half",NA,0.159475006332886,NA,1,0,0.729,0.2608298264737,0.131481481481481
1,73118,"null","iid","mcar","legacy",NA,0.103920560260609,NA,0,0,0.404,0.0653969029336676,0.142592592592593
1,73118,"null","iid","mcar","count",NA,0.0949852088920217,NA,0,0,0.404,0.100166638840258,0.142592592592593
1,73118,"null","iid","mcar","explicit_precision",NA,0.0999375348488791,NA,0,0,0.404,0.100038038018942,0.142592592592593
